Vehicle ,RAM,storage,Trustfactor,Distance,TransmissionRate,Eligible
1,46.2125,37.38125,23,94,48.14814815,49.74837963
2,59.2125,44.24375,81,32.7,70.37037037,57.50532407
3,87.175,83.5625,94,42.4,48.14814815,71.05712963
4,19.9,17.38125,77,17.2,44.44444444,35.18513889
5,77.65,45.9125,64,92.8,14.81481481,59.03546296
6,32.6625,29.825,53,9.2,40.74074074,33.08564815
7,74.925,38.79375,59,91.9,51.85185185,63.29412037
8,47.025,29.56875,89,55.2,100,64.15875
9,23.65,87.725,80,50.5,59.25925926,60.22685185
10,15.0375,52.86875,93,7.4,29.62962963,39.58717593
11,51.5375,95.64375,83,94.3,51.85185185,75.26662037
12,51.65,32.275,76,63.6,51.85185185,55.07537037
13,65.025,99.30625,86,58.5,44.44444444,70.65513889
14,68.1125,65.83125,27,57.3,62.96296296,56.24134259
15,48.5625,62.05,93,70.7,92.59259259,73.38101852
16,34.25,84.94375,37,41.9,55.55555556,50.72986111
17,12.775,97.7375,21,19.4,11.11111111,32.40472222
18,24.8125,65.98125,39,87.3,25.92592593,48.60393519
19,65.55,17.8875,89,40.5,48.14814815,52.21712963
20,99.4625,99.1,66,18,51.85185185,66.88287037
21,46.4625,74.74375,25,81.3,11.11111111,47.72347222
22,16.5,82.2125,38,60.7,37.03703704,46.88990741
23,27.2,51.14375,61,76.5,70.37037037,57.24282407
24,31.1625,89.88125,81,73.8,29.62962963,61.09467593
25,55.95,95.375,12,92.6,77.77777778,66.74055556
26,97.7375,53.4625,21,22.7,14.81481481,41.94296296
27,27.525,50.86875,24,73.7,14.81481481,38.18171296
28,79.3125,60.84375,89,98.5,18.51851852,69.2349537
29,60.3,77.30625,18,25.9,25.92592593,41.48643519
30,33.6375,92.7375,99,37.3,51.85185185,62.90537037
31,14.875,83.475,35,75.5,77.77777778,57.32555556
32,96.2,50.075,72,47.1,29.62962963,59.00092593
33,30.85,88.18125,30,67.2,40.74074074,51.39439815
34,85.6875,44.39375,42,19.8,92.59259259,56.89476852
35,76.05,83.5,21,99.7,18.51851852,59.7537037
36,77.4625,27.75,29,13.7,62.96296296,42.17509259
37,24.55,45.20625,32,49.6,51.85185185,40.64162037
38,34.4125,9.28125,32,6.1,85.18518519,33.39578704
39,73.925,58.21875,56,79.8,29.62962963,59.51467593
40,21.3625,20.1875,63,3,100,41.51
41,93.8625,36.64375,80,56.6,77.77777778,68.97680556
42,50.625,15.3375,80,18.4,48.14814815,42.50212963
43,84.85,96.55625,46,54.9,40.74074074,64.60939815
44,62.4125,62,81,58.6,37.03703704,60.20990741
45,76.5125,31.10625,99,11.4,14.81481481,46.56671296
46,89.5625,11.7875,14,8.6,11.11111111,27.01222222
47,64.225,18.43125,15,83.9,29.62962963,42.23717593
48,74.5,88.9125,59,37.6,48.14814815,61.63212963
49,65.7,96.95,72,11.1,96.2962963,68.40925926
50,18.3875,94.575,83,29.7,18.51851852,48.8362037
51,84.025,88.76875,32,5,25.92592593,47.14393519
52,60.0875,11.1875,74,27.7,22.22222222,39.03944444
53,58.1875,25.78125,54,25.6,62.96296296,45.30634259
54,68.975,80.01875,36,30.7,96.2962963,62.39800926
55,81.1,33.9375,96,46.2,70.37037037,65.52157407
56,71.475,7.21875,21,2.5,62.96296296,33.03134259
57,94.2625,39.6875,39,28.4,40.74074074,48.41814815
58,23.65,68.06875,14,93.4,14.81481481,42.78671296
59,50.85,24.35,99,4.8,81.48148148,52.0962963
60,23.05,46.95625,74,59.4,62.96296296,53.27384259
61,29.1,63.01875,67,91.5,62.96296296,62.71634259
62,45.7125,29.70625,96,32.3,29.62962963,46.66967593
63,89.15,59.88125,84,72.7,40.74074074,69.29439815
64,89.125,16.6875,12,57.4,37.03703704,42.44990741
65,59.2125,42.66875,60,14.8,25.92592593,40.52143519
66,50.4375,57.84375,33,60.6,100,60.37625
67,73.0125,77.325,19,21.1,22.22222222,42.53194444
68,43.6,37.15,42,96.7,62.96296296,56.48259259
69,24.2,70.88125,47,67.2,66.66666667,55.18958333
70,37.0625,53.83125,10,26.4,59.25925926,37.31060185
71,15.325,8.05625,85,19,11.11111111,27.69847222
72,81.875,77.9375,59,51.4,92.59259259,72.56101852
73,76.8,93.7625,59,39.9,85.18518519,70.92953704
74,32.825,91.41875,36,25.3,59.25925926,48.96060185
75,62.875,87.175,53,48.3,29.62962963,56.19592593
76,44.375,62.99375,90,27.3,44.44444444,53.82263889
77,94.8375,10.6125,90,27.6,33.33333333,51.27666667
78,92.75,60.09375,99,69.3,81.48148148,80.5250463
79,58.6875,21.66875,71,89.8,81.48148148,64.5275463
80,73.9375,89.74375,63,87.6,33.33333333,69.52291667
81,12.65,67.36875,97,25.6,92.59259259,59.04226852
82,47.975,94.7875,80,67.4,62.96296296,70.62509259
83,94.9,77.4125,90,54.2,33.33333333,69.96916667
84,59.0625,10.975,90,9,51.85185185,44.17787037
85,39.5375,73.70625,20,48.6,18.51851852,40.0724537
86,79.55,37.5875,41,19.1,85.18518519,52.48453704
87,20.6875,27.20625,91,66.9,33.33333333,47.82541667
88,84.1625,69.25625,92,90,96.2962963,86.34300926
89,17.0125,46.46875,78,98,81.48148148,64.1925463
90,61.4375,73.725,54,70.5,70.37037037,66.00657407
91,35.6625,44.96875,24,18.1,96.2962963,43.80550926
92,26.1625,87.50625,98,20.4,51.85185185,56.78412037
93,19.6,63,54,9.4,59.25925926,41.05185185
94,36.4375,64.10625,44,14.4,44.44444444,40.67763889
95,13.075,95.9375,76,42.1,100,65.4225
96,92.725,99.08125,70,38.1,48.14814815,69.61087963
97,84.4625,66.93125,97,40.3,14.81481481,60.70171296
98,77.7875,76.76875,97,90,44.44444444,77.20013889
99,15.5,67.825,47,61.5,85.18518519,55.40203704
100,48.475,75.48125,87,91.9,96.2962963,79.83050926
101,80.65,90.48125,96,48.5,14.81481481,66.08921296
102,42.325,17.9625,80,96.8,100,67.4175
103,73.3125,82.41875,25,95.9,66.66666667,68.65958333
104,93.4,55.9625,63,30.3,40.74074074,56.68064815
105,72.975,87.68125,73,46.6,11.11111111,58.27347222
106,69,35.3875,11,31.3,22.22222222,33.78194444
107,40.8,84.80625,68,86,96.2962963,75.18050926
108,50.8125,20.2875,71,47.5,25.92592593,43.10518519
109,82.7,80.41875,39,51.3,44.44444444,59.57263889
110,46.675,39.3,46,27,33.33333333,38.46166667
111,19.8375,36.39375,81,9.5,96.2962963,48.60550926
112,30.6875,98.8125,11,12.3,62.96296296,43.15259259
113,86.9875,37.88125,89,46.9,51.85185185,62.52412037
114,39.7375,73.925,97,37.2,100,69.5725
115,77.6875,21.2625,42,16.1,11.11111111,33.63222222
116,40.6625,70.65,22,91.3,40.74074074,53.07064815
117,87.575,67.21875,14,41.5,70.37037037,56.13282407
118,83.825,50.38125,95,42.4,81.48148148,70.6175463
119,64.25,91.54375,65,41.4,66.66666667,65.77208333
120,69.35,21.225,68,6.8,92.59259259,51.59351852
121,14.2875,93.3,61,21.7,96.2962963,57.31675926
122,30.225,78.925,87,38.2,100,66.87
123,69.65,13.08125,79,7.2,29.62962963,39.71217593
124,71.3,10.81875,66,20.4,77.77777778,49.25930556
125,92.2625,25.59375,78,5.2,62.96296296,52.80384259
126,60.2,32.7,53,32.3,66.66666667,48.97333333
127,81.925,63.29375,50,18.8,18.51851852,46.5074537
128,39.025,44.1625,68,43.2,33.33333333,45.54416667
129,32.2125,7.86875,68,90.4,22.22222222,44.14069444
130,52.1125,75.8,27,78.8,48.14814815,56.37212963
131,54.2125,56.075,43,36.1,88.88888889,55.65527778
132,97.1125,30.00625,77,12.6,55.55555556,54.45486111
133,80.45,32.33125,68,86,92.59259259,71.87476852
134,88.95,39.39375,29,66.1,22.22222222,49.13319444
135,32.1,36.55,94,1.8,22.22222222,37.33444444
136,16.45,49.475,14,61.8,25.92592593,33.53018519
137,44.8625,28.825,37,69.9,22.22222222,40.56194444
138,34.4375,94.9,71,67.5,33.33333333,60.23416667
139,26.95,16.2,30,22.6,96.2962963,38.40925926
140,48.8125,26.81875,64,98.4,66.66666667,60.93958333
141,52.175,41.9875,97,15,59.25925926,53.08435185
142,50.4375,63.08125,15,58.9,37.03703704,44.89115741
143,44.65,43.2,35,12.9,81.48148148,43.4462963
144,96.4625,45.8125,30,15,62.96296296,50.04759259
145,70.6375,48.9125,17,94.3,55.55555556,57.28111111
146,98.2,80.90625,54,61.3,55.55555556,69.99236111
147,44.3375,94.53125,35,64.5,96.2962963,66.93300926
148,20.2125,73.94375,30,87.2,77.77777778,57.82680556
149,51.4125,64.7375,25,70.5,66.66666667,55.66333333
150,84.5625,26.74375,67,53,22.22222222,50.70569444
151,42.975,32.26875,78,42.5,37.03703704,46.55615741
152,24.7875,41.325,37,19.3,11.11111111,26.70472222
