TaskID,Required_RAM,Required_Storage,Minimum_Trust_Factor,Max_Distance,Min_Transmission_Rate,Min_Eligibility
1,45.0125,35.075,20,13.2,88.88888889,40.43527778
2,48.35,19.23125,16,31.8,18.51851852,26.7799537
3,73.2875,98.1625,90,59.6,51.85185185,74.58037037
4,32.1375,57.74375,72,7.6,66.66666667,47.22958333
5,15.925,24.19375,37,11.9,70.37037037,31.87782407
6,59.5,87.64375,94,41.8,51.85185185,66.95912037
7,94.3,96.05,71,60.8,66.66666667,77.76333333
8,22.9125,77.40625,76,6.7,22.22222222,41.04819444
9,30.8375,36.5375,45,99.9,14.81481481,45.41796296
10,90.325,81.4125,47,71.9,48.14814815,67.75712963
11,69.9125,42.20625,41,68.6,55.55555556,55.45486111
12,15.6875,77.55,31,79.2,40.74074074,48.83564815
13,22.3125,83.46875,73,7.9,37.03703704,44.74365741
14,89.9,82.5875,63,56.1,44.44444444,67.20638889
15,35.0125,7.40625,36,83.6,33.33333333,39.07041667
16,49.9875,11.5875,60,2.5,66.66666667,38.14833333
17,15.9875,60.90625,58,87.1,70.37037037,58.47282407
18,41.6875,78.3125,16,71.3,25.92592593,46.64518519
19,24.1625,41.06875,50,65.5,74.07407407,50.96106481
20,88.0,30.23125,12,35.8,33.33333333,39.87291667
21,59.9375,11.61875,75,75.1,44.44444444,53.22013889
22,29.3125,27.9125,21,15.8,25.92592593,23.99018519
23,54.9,20.75,95,75.7,92.59259259,67.78851852
24,27.275,85.7875,14,57.4,11.11111111,39.11472222
25,71.3125,39.45,49,26.0,48.14814815,46.78212963
26,41.8625,76.4625,66,54.0,62.96296296,60.25759259
27,42.4,64.4875,72,30.5,88.88888889,59.65527778
28,100.0,13.30625,53,80.9,18.51851852,53.1449537
29,76.75,16.06875,43,41.8,77.77777778,51.07930556
30,13.4125,41.35625,12,41.6,14.81481481,24.63671296
31,67.0125,92.6875,83,1.9,37.03703704,56.32740741
32,33.8,75.825,20,37.0,62.96296296,45.91759259
33,26.725,8.36875,68,62.5,59.25925926,44.97060185
34,35.25,77.525,51,25.1,48.14814815,47.40462963
35,89.9,43.58125,64,81.7,88.88888889,73.61402778
36,83.05,52.425,69,3.8,51.85185185,52.02537037
37,79.8875,37.10625,100,12.7,62.96296296,58.53134259
38,85.2125,67.41875,22,28.2,44.44444444,49.45513889
39,97.425,61.55,26,22.5,33.33333333,48.16166667
40,85.1125,43.50625,39,1.8,51.85185185,44.25412037
41,89.375,64.1,13,98.1,70.37037037,66.98907407
42,34.9125,41.55625,57,85.8,81.48148148,60.1500463
43,85.45,74.5375,64,20.3,85.18518519,65.89453704
44,69.1625,27.05625,68,42.6,33.33333333,48.03041667
45,54.45,43.99375,57,68.5,14.81481481,47.75171296
46,56.0125,98.53125,20,20.6,29.62962963,44.95467593
47,49.225,51.75625,14,35.5,18.51851852,33.7999537
48,86.225,70.8,35,15.9,18.51851852,45.2887037
49,23.1,52.00625,89,60.8,48.14814815,54.61087963
50,55.8125,27.3375,21,46.3,100.0,50.09
51,74.0375,94.70625,55,10.7,74.07407407,61.70356481
52,44.95,89.24375,57,18.6,33.33333333,48.62541667
53,19.525,74.025,58,98.5,55.55555556,61.12111111
54,77.4125,52.7375,95,75.0,29.62962963,65.95592593
55,74.3,58.2125,56,22.6,18.51851852,45.9262037
56,42.05,65.5375,49,40.9,92.59259259,58.01601852
57,37.375,79.975,45,40.9,18.51851852,44.3537037
58,28.8625,7.3625,48,46.5,25.92592593,31.33018519
59,58.3375,8.13125,74,77.0,48.14814815,53.12337963
60,16.1,65.86875,51,86.3,55.55555556,54.96486111
61,59.875,82.10625,13,66.1,44.44444444,53.10513889
62,33.3375,88.2875,70,9.5,48.14814815,49.85462963
63,86.9375,66.95625,33,76.2,70.37037037,66.69282407
64,68.3875,41.50625,12,95.3,22.22222222,47.88319444
65,73.35,19.7375,43,53.8,14.81481481,40.94046296
66,51.2625,22.4625,55,16.8,40.74074074,37.25314815
67,16.65,85.24375,43,3.9,14.81481481,32.72171296
68,60.2125,26.875,81,32.1,100.0,60.0375
69,17.0625,36.1625,46,78.9,25.92592593,40.81018519
70,79.3125,75.30625,89,78.2,44.44444444,73.25263889
71,90.7,70.3375,26,16.1,48.14814815,50.25712963
72,56.9375,33.0875,85,97.4,66.66666667,67.81833333
73,56.95,38.55,54,34.4,11.11111111,39.00222222
74,75.9375,66.925,85,34.3,14.81481481,55.39546296
75,38.8375,25.24375,56,68.0,37.03703704,45.02365741
76,23.2375,10.475,75,43.6,29.62962963,36.38842593
77,57.5625,83.425,94,28.5,96.2962963,71.95675926
78,90.325,84.01875,96,46.8,96.2962963,82.68800926
79,73.7875,54.0875,90,11.1,29.62962963,51.72092593
80,61.9625,67.56875,34,4.2,18.51851852,37.2499537
81,20.4875,7.99375,79,75.0,18.51851852,40.1999537
