TaskID,Required_RAM,Required_Storage,Minimum_Trust_Factor,Max_Distance,Min_Transmission_Rate,Min_Eligibility
1,85.15,12.775,22,31.5,70.37037037,44.35907407
2,34.2125,10.95,90,51.2,22.22222222,41.71694444
3,25.625,89.48125,57,88.9,33.33333333,58.86791667
4,46.5375,69.7625,63,65.0,51.85185185,59.23037037
5,50.675,99.5875,43,59.8,74.07407407,65.42731481
6,48.4125,51.35625,54,53.4,59.25925926,53.28560185
7,28.8625,81.25,50,2.4,81.48148148,48.7987963
8,87.375,81.19375,98,23.2,18.51851852,61.6574537
9,41.6375,17.7375,92,66.7,88.88888889,61.39277778
10,81.2625,83.85625,25,32.8,81.48148148,60.8800463
11,41.1,13.4375,26,64.8,100.0,49.0675
12,91.0375,70.43125,98,51.4,29.62962963,68.09967593
13,42.55,18.2375,37,70.8,29.62962963,39.64342593
14,64.2125,38.8375,32,32.6,51.85185185,43.90037037
15,30.0,67.74375,51,93.6,33.33333333,55.13541667
16,95.4625,51.51875,13,8.6,44.44444444,42.60513889
17,67.1,10.26875,84,71.7,55.55555556,57.72486111
18,13.3625,84.975,77,61.5,33.33333333,54.03416667
19,76.175,63.175,88,43.2,96.2962963,73.36925926
20,79.85,41.85,70,91.3,59.25925926,68.45185185
21,86.6,75.10625,81,44.6,70.37037037,71.53532407
22,35.5375,65.05,26,56.0,100.0,56.5175
23,93.2875,68.7,27,47.4,81.48148148,63.5737963
24,25.7,69.325,70,18.7,62.96296296,49.33759259
25,95.175,36.35625,72,42.3,37.03703704,56.57365741
26,95.2375,62.825,79,32.0,48.14814815,63.44212963
27,28.95,26.7375,58,77.8,92.59259259,56.81601852
28,91.725,59.94375,11,53.6,55.55555556,54.36486111
29,66.65,87.98125,53,22.2,22.22222222,50.41069444
30,53.525,25.375,67,24.2,25.92592593,39.20518519
31,36.5875,12.3125,100,60.7,70.37037037,55.99407407
32,25.225,70.58125,59,36.0,74.07407407,52.97606481
33,94.175,57.76875,32,2.5,96.2962963,56.54800926
34,29.725,24.29375,13,76.3,33.33333333,35.33041667
35,50.4,54.80625,72,42.8,40.74074074,52.14939815
36,21.4125,58.13125,25,28.0,96.2962963,45.76800926
37,39.0375,69.81875,44,43.3,70.37037037,53.30532407
38,49.4375,29.61875,27,23.4,88.88888889,43.66902778
39,49.975,80.975,40,35.2,70.37037037,55.30407407
40,24.2375,30.21875,16,31.5,25.92592593,25.57643519
41,42.3625,7.3625,98,66.3,96.2962963,62.06425926
42,39.1875,20.1625,70,36.6,51.85185185,43.56037037
43,47.9625,44.925,24,41.3,66.66666667,44.97083333
44,47.65,86.43125,14,20.1,44.44444444,42.52513889
45,48.5375,28.4,55,25.0,33.33333333,38.05416667
46,57.45,20.675,93,53.4,70.37037037,58.97907407
47,69.3875,81.89375,40,31.6,62.96296296,57.16884259
48,73.4625,40.3375,41,96.6,25.92592593,55.46518519
49,76.5875,11.275,33,47.3,85.18518519,50.66953704
50,24.65,40.5375,10,53.7,81.48148148,42.0737963
51,36.175,72.875,39,24.5,25.92592593,39.69518519
52,73.15,23.5875,31,66.4,37.03703704,46.23490741
53,64.5625,24.81875,80,74.5,66.66666667,62.10958333
54,16.775,81.9,96,18.4,88.88888889,60.39277778
55,18.6875,18.4125,55,97.8,77.77777778,53.53555556
56,88.0375,86.04375,47,49.1,74.07407407,68.85106481
57,56.0,29.58125,82,68.7,33.33333333,53.92291667
58,15.35,88.9375,38,49.0,51.85185185,48.62787037
59,77.2375,96.775,46,71.6,66.66666667,71.65583333
60,35.625,52.18125,23,9.3,40.74074074,32.16939815
61,32.5375,92.15625,50,38.0,18.51851852,46.2424537
62,13.7875,59.24375,54,50.8,33.33333333,42.23291667
63,59.8875,68.025,70,50.5,92.59259259,68.20101852
64,77.4375,33.2375,33,64.0,44.44444444,50.42388889
65,63.6625,54.80625,39,83.4,96.2962963,67.43300926
66,17.35,84.1875,72,62.6,88.88888889,65.00527778
67,24.525,21.66875,42,27.5,77.77777778,38.69430556
68,70.0125,33.9875,61,13.1,55.55555556,46.73111111
69,34.3125,81.10625,16,60.3,74.07407407,53.15856481
70,61.7125,45.85,80,37.5,44.44444444,53.90138889
71,24.025,22.08125,19,33.4,100.0,39.70125
72,57.225,61.16875,91,12.8,33.33333333,51.10541667
73,45.325,50.475,41,57.4,48.14814815,48.46962963
74,85.75,7.64375,70,54.0,11.11111111,45.70097222
75,72.8625,44.4875,75,83.4,25.92592593,60.33518519
76,75.275,61.375,53,41.8,55.55555556,57.40111111
77,56.025,98.73125,95,36.0,22.22222222,61.59569444
78,40.6,79.20625,56,43.1,29.62962963,49.70717593
79,84.2125,41.75625,92,78.8,33.33333333,66.02041667
80,58.7125,97.9,46,93.2,37.03703704,66.56990741
