Vehicle,RAM,storage,Trustfactor,Distance,TransmissionRate,Eligible
1,93.5625,37.59375,79,62.8,40.74074074,62.73939815
2,62.9125,89.675,39,21.1,25.92592593,47.72268519
3,29.25,78.1125,22,52.2,11.11111111,38.53472222
4,37.0625,53.83125,10,26.4,59.25925926,37.31060185
5,35.225,91.7625,19,44.5,92.59259259,56.61601852
6,85.6875,44.39375,42,19.8,92.59259259,56.89476852
7,93.3375,69.225,81,1.9,18.51851852,52.7962037
8,71.7875,94.125,56,95.0,55.55555556,74.49361111
9,23.0875,37.70625,32,93.6,77.77777778,52.83430556
10,38.675,19.625,72,88.2,33.33333333,50.36666667
11,66.7,54.61875,66,52.3,18.51851852,51.6274537
12,53.55,73.01875,98,60.1,44.44444444,65.82263889
13,78.05,62.76875,46,54.6,92.59259259,66.80226852
14,82.1625,34.575,40,94.2,44.44444444,59.07638889
15,42.95,43.38125,39,31.2,51.85185185,41.67662037
16,60.875,28.93125,30,87.6,62.96296296,54.07384259
17,80.3125,80.80625,10,74.7,11.11111111,51.38597222
18,50.6,44.39375,95,20.0,51.85185185,52.36912037
19,76.1625,38.13125,94,26.4,33.33333333,53.60541667
20,82.7,58.625,43,4.2,37.03703704,45.11240741
21,31.7125,35.0375,68,37.5,18.51851852,38.1537037
22,31.1625,89.88125,81,73.8,29.62962963,61.09467593
23,27.525,50.86875,24,73.7,14.81481481,38.18171296
24,13.6625,53.48125,20,64.3,37.03703704,37.69615741
25,86.3875,29.825,55,15.9,37.03703704,44.82990741
26,95.5625,46.475,46,13.0,77.77777778,55.76305556
27,51.8375,25.625,39,6.3,40.74074074,32.70064815
28,77.15,53.31875,33,65.4,40.74074074,53.92189815
29,55.7625,34.46875,98,99.3,37.03703704,64.91365741
30,53.95,68.1,41,74.9,100.0,67.59
31,41.8125,71.09375,19,29.9,44.44444444,41.25013889
32,70.5875,98.7375,64,2.5,66.66666667,60.49833333
33,67.725,45.26875,80,39.6,96.2962963,65.77800926
34,63.9625,44.05,94,45.6,100.0,69.5225
35,75.1625,70.93125,83,82.8,66.66666667,75.71208333
36,34.675,18.875,62,13.2,51.85185185,36.12037037
37,47.9375,41.0,53,98.1,44.44444444,56.89638889
38,96.725,52.00625,26,39.5,40.74074074,50.99439815
39,88.875,86.5375,14,7.8,92.59259259,57.96101852
40,36.05,87.8875,59,6.0,48.14814815,47.41712963
41,33.825,95.6875,94,54.3,92.59259259,74.08101852
42,89.45,15.00625,46,39.2,44.44444444,46.82013889
43,23.825,9.89375,19,12.2,51.85185185,23.35412037
44,31.1,25.13125,12,99.7,77.77777778,49.14180556
45,83.875,61.0375,88,31.1,85.18518519,69.83953704
46,94.9125,32.16875,54,61.2,66.66666667,61.78958333
47,30.4,69.33125,58,25.2,77.77777778,52.14180556
48,58.775,39.58125,61,24.5,51.85185185,47.14162037
49,18.7,97.70625,80,69.2,14.81481481,56.08421296
50,33.5625,43.25625,43,40.0,85.18518519,49.00078704
51,60.4375,52.075,95,19.6,48.14814815,55.05212963
52,16.2125,67.13125,34,7.6,100.0,44.98875
53,34.05,94.66875,14,15.1,66.66666667,44.89708333
54,21.9875,58.55,60,88.5,85.18518519,62.84453704
55,95.1625,53.58125,84,90.7,40.74074074,72.83689815
56,86.7125,37.00625,49,92.5,40.74074074,61.19189815
57,64.775,76.9125,17,22.0,25.92592593,41.32268519
